store_name,hp_url,tel_num,area
横浜天然温泉 SPA EAS（スパイアス）,http://www.spa-eas.com/,045-290-2080,神奈川県横浜市西区北幸2-2-1 ハマボールイアス内 4階～7階
天然温泉 花咲の湯 HANASAKI SPA（ハナサキスパ）,http://hanasakispa.jp/,048-723-3726,埼玉県上尾市原市570
縄文天然温泉 志楽の湯（しらくのゆ）,http://www.shiraku.jp/,0120-650-711,神奈川県川崎市幸区塚越4-314-1
湯の郷ほのか　千葉蘇我店,http://www.yudokoro-honoka.jp/soga/,043-265-1726,千葉県千葉市中央区川崎町51-1
観音崎京急ホテル SPASSO（スパッソ）,http://go-spasso.jp/,046-844-4848,神奈川県横須賀市走水2-1157-2
湯花楽 厚木店（ゆからく）,,046-296-4126,神奈川県厚木市林5-8-12
箱根小涌園 ユネッサン,http://www.yunessun.com/,0460-82-4126,神奈川県足柄下郡箱根町二ノ平1297
箱根湯本温泉 天成園（てんせいえん）,http://www.tenseien.co.jp/,0460-83-8500,神奈川県足柄下郡箱根町湯本682
横浜みなとみらい 万葉倶楽部,http://www.manyo.co.jp/mm21/,045-663-4126,神奈川県横浜市中区新港2-7-1
杉戸天然温泉 雅楽の湯（うたのゆ）,http://www.utanoyu.com/index.html,0480-53-4126,埼玉県北葛飾郡杉戸町杉戸2517
有馬温泉 太閤の湯,http://www.taikounoyu.com/,078-904-2291,兵庫県神戸市北区有馬町池の尻292-2
キャナル・リゾート,http://canalresort.jp/,052-661-9876,愛知県名古屋市中川区玉川町4-1
港北天然温泉 スパガーディッシュ,http://www.gardish.com/,045-595-0260,神奈川県横浜市都筑区中川中央2-7-1　港北みなも３階
天然温泉スパロイヤル川口,http://spa-royal-kawaguchi.jp/,048-227-2611,埼玉県川口市朝日3-13-27
綱島源泉 湯けむりの庄（ゆけむりのしょう）,http://yukemurinosato.com/tsunashima,"045-545-4126,[受付時間  平日9：00～18：00]",神奈川県横浜市港北区樽町3-7-61
箱根てのゆ,http://www.tenoyu.jp/,0460-86-1026,神奈川県足柄下郡箱根町底倉555
天然温泉 ひなたの湯,http://www.hinatanoyu.com/,06-7504-6853,大阪府大阪市淀川区三国本町1-6-15ドルチェヴィータ新大阪9F
純天然温泉 ＨＡＴ なぎさの湯（ハットなぎさの湯））,http://www.nagisa-u.com/index.html,078-231-4126,兵庫県神戸市中央区脇浜海岸通1-3-3
神戸ハーバーランド温泉 万葉倶楽部,http://www.manyo.co.jp/kobe/,078－371－4126,兵庫県神戸市中央区東川崎町1-8-1プロメナ神戸
おふろcafe bijinyu (美肌湯）（おふろカフェびじんゆ）,http://ofurocafe-bijinyu.com/,054-252-1126,静岡県静岡市葵区篭上15-15
湯～モアリゾート 太山寺温泉 なでしこの湯,http://www.nadeshikonoyu.com/,078-977-0261,兵庫県神戸市西区伊川谷町前開270-1
みのたにグリーンスポーツホテル 銀河の湯,,078-581-6000,兵庫県神戸市北区山田町原野
東京・湯河原温泉 万葉の湯,http://www.manyo.co.jp/machida/,042-788-4126,東京都町田市鶴間7丁目3番1号
天然温泉 平和島,http://www.heiwajima-onsen.jp/,03-3768-9121,東京都大田区平和島1-1-1 ビッグファン平和島2F
梅の郷 月ヶ瀬温泉,http://tsukigaseonsen.com/,0743-92-0388,奈良県奈良市月ヶ瀬尾山2681
こんだ薬師温泉 ぬくもりの郷（こんだやくしおんせん）,http://yume-konda.com/,079-590-3377,兵庫県篠山市今田町今田新田21-10
おふろcafe utatane（おふろカフェ うたたね）,http://ofurocafe-utatane.com/,048-856-9899,埼玉県さいたま市北区大成町4丁目179-3
宮前平源泉 湯けむりの庄（ゆけむりのしょう）,http://yukemurinosato.com/miyamaedaira,044-860-2641,神奈川県川崎市宮前区宮前平2-13-3
